# Time-averaged data for fix stress_6
# TimeStep v_sigmayy_5
10200 6.92079
10300 7.5425
10400 7.7875
10500 7.50288
10600 7.08178
10700 6.74198
10800 5.25568
10900 5.82586
11000 5.7767
11100 5.32413
11200 4.70799
11300 5.05277
11400 4.71459
11500 3.61886
11600 3.77492
11700 3.13713
11800 2.70462
11900 3.17984
12000 4.39076
12100 4.86524
12200 5.63009
12300 6.25273
12400 6.29222
12500 6.34809
12600 5.96171
12700 6.64315
12800 5.67221
12900 5.79368
13000 5.28583
13100 5.43167
13200 6.2244
13300 6.5117
13400 6.42202
13500 6.87728
13600 5.94409
13700 5.59261
13800 6.0633
13900 7.12663
14000 7.22131
14100 7.59142
14200 7.70799
14300 6.93999
14400 6.2955
14500 6.30688
14600 6.19504
14700 6.19667
14800 5.68173
14900 5.5801
15000 5.05789
15100 5.51348
15200 6.84852
15300 6.4678
15400 6.1862
15500 5.80896
15600 6.04446
15700 6.10723
15800 6.33712
15900 6.36223
16000 6.86038
16100 6.70133
16200 7.12605
16300 7.10172
16400 8.38699
16500 8.04849
16600 8.11758
16700 7.61182
16800 7.40488
16900 6.49341
17000 7.20758
17100 7.28072
17200 7.60188
17300 7.38152
17400 7.58457
17500 6.50389
17600 6.91623
17700 6.45108
17800 6.48446
17900 6.99117
18000 7.38573
18100 7.68923
18200 8.19972
18300 7.70496
18400 7.81435
18500 7.62178
18600 7.16681
18700 7.29219
18800 7.48245
18900 7.88681
19000 7.47457
19100 6.83343
19200 7.1059
19300 7.63452
19400 7.9648
19500 8.12773
19600 9.85277
19700 8.46172
19800 8.35285
19900 7.02621
20000 7.0992
20100 7.65004
20200 7.8341
20300 6.75594
20400 7.92841
20500 7.84259
20600 7.93951
20700 7.86517
20800 8.15244
20900 8.7309
21000 9.2988
21100 8.69979
21200 7.77092
21300 7.70521
21400 7.758
21500 8.24164
21600 8.49269
21700 8.3141
21800 8.20414
21900 8.67567
22000 7.9972
22100 7.90189
22200 8.25256
22300 8.87902
22400 9.31556
22500 9.45494
22600 9.45131
22700 9.43024
22800 9.20432
22900 9.76794
23000 9.91141
23100 9.71159
23200 9.69579
23300 10.1421
23400 9.22409
23500 9.47586
23600 8.92918
23700 8.30037
23800 8.79904
23900 9.28878
24000 9.04502
24100 8.72355
24200 8.52159
24300 8.34316
24400 9.22588
24500 9.30249
24600 9.72284
24700 10.2132
24800 9.87861
24900 9.83443
25000 9.36456
25100 9.03102
25200 10.0015
25300 9.91258
25400 9.57613
25500 10.0149
25600 9.90828
25700 9.56323
25800 9.63049
25900 9.86879
26000 9.38661
26100 9.73718
26200 9.97464
26300 9.90484
26400 9.13657
26500 9.79251
26600 9.6172
26700 9.24774
26800 9.91934
26900 10.061
27000 10.2187
27100 9.83764
27200 9.33567
27300 9.3533
27400 9.83115
27500 9.78146
27600 9.97089
27700 10.3899
27800 10.0545
27900 10.8776
28000 11.1388
28100 10.7284
28200 10.2036
28300 10.2758
28400 9.70362
28500 9.60354
28600 10.0635
28700 10.4847
28800 10.9181
28900 11.3624
29000 11.3495
29100 10.0077
29200 10.6772
29300 10.5547
29400 10.2868
29500 10.3883
29600 10.3019
29700 10.0393
29800 9.94196
29900 10.5396
30000 10.8192
30100 11.6114
30200 10.8045
30300 10.5118
30400 10.1184
30500 10.4328
30600 10.2775
30700 11.3324
30800 11.2738
30900 11.3168
31000 10.6088
31100 11.8085
31200 11.0568
31300 10.9521
31400 11.1489
31500 11.5843
31600 11.0144
31700 11.3809
31800 11.6794
31900 11.1773
32000 10.8235
32100 10.4236
32200 10.2443
32300 10.5456
32400 10.914
32500 11.0634
32600 11.5758
32700 10.8387
32800 11.0118
32900 10.5441
33000 10.6458
33100 10.5007
33200 10.8966
33300 10.5828
33400 10.852
33500 10.8284
33600 10.3066
33700 10.0101
33800 10.3074
33900 9.92118
34000 10.0548
34100 9.91239
34200 9.72678
34300 10.0662
34400 10.5169
34500 10.3863
34600 9.93091
34700 10.4169
34800 10.802
34900 10.025
35000 10.549
35100 10.6318
35200 10.1155
35300 10.0103
35400 10.1355
35500 10.3597
35600 9.9485
35700 10.0205
35800 10.3482
35900 11.0594
36000 11.0289
36100 11.3512
36200 11.3807
36300 10.6502
36400 11.0882
36500 11.0807
36600 10.6752
36700 10.7795
36800 10.5529
36900 10.3731
37000 10.1846
37100 9.58339
37200 9.08221
37300 8.86947
37400 8.56993
37500 8.68758
37600 8.78703
37700 8.6015
37800 9.39596
37900 9.59859
38000 9.88008
38100 10.665
38200 10.4666
38300 10.656
38400 11.7265
38500 11.3898
38600 10.9302
38700 12.0603
38800 11.3396
38900 11.0088
39000 11.3862
39100 11.442
39200 11.1135
39300 11.4998
39400 10.7484
39500 10.1674
39600 10.9884
39700 10.7846
39800 10.9675
39900 10.8397
40000 10.6362
40100 10.2438
40200 10.3669
40300 10.8979
40400 11.4016
40500 10.7132
40600 11.6354
40700 11.5337
40800 11.042
40900 11.0511
41000 11.9931
41100 11.2224
41200 11.9769
41300 12.361
41400 12.1374
41500 12.3827
41600 11.9198
41700 11.6235
41800 11.7253
41900 11.6283
42000 11.343
42100 12.11
42200 12.0295
42300 12.575
42400 12.6394
42500 12.906
42600 12.7062
42700 12.3858
42800 12.2788
42900 12.6123
43000 12.4148
43100 12.1067
43200 12.0658
43300 12.585
43400 12.1267
43500 12.2681
43600 12.3686
43700 12.2904
43800 12.727
43900 12.7837
44000 13.0194
44100 13.0098
44200 13.5265
44300 13.9281
44400 13.8932
44500 13.9424
44600 13.9821
44700 13.4278
44800 12.9648
44900 13.2707
45000 13.7421
45100 13.2875
45200 13.874
45300 13.9331
45400 13.023
45500 12.8909
45600 13.8198
45700 13.4667
45800 13.1075
45900 13.7914
46000 13.8547
46100 13.3171
46200 12.672
46300 12.3823
46400 13.8908
46500 14.7958
46600 14.2919
46700 14.0415
46800 13.4457
46900 13.853
47000 13.4867
47100 13.8552
47200 14.124
47300 14.016
47400 14.9485
47500 14.4812
47600 14.3175
47700 14.3539
47800 12.8817
47900 13.2055
48000 12.8577
48100 13.2921
48200 13.6203
48300 13.9442
48400 13.8078
48500 13.7154
48600 13.2588
48700 13.8807
48800 13.5856
48900 13.3755
49000 13.3084
49100 14.153
49200 13.9036
49300 14.1899
49400 14.2765
49500 14.3439
49600 14.3564
49700 14.186
49800 14.2017
49900 14.2393
50000 14.4496
50100 14.3033
50200 14.1937
50300 13.9158
50400 13.2164
50500 13.4279
50600 13.1193
50700 12.802
50800 13.4095
50900 13.5334
51000 12.6891
51100 12.4451
51200 13.319
51300 12.946
51400 13.1358
51500 12.971
51600 13.2186
51700 13.6215
51800 13.5694
51900 14.2092
52000 14.871
52100 14.7102
52200 14.7899
52300 14.115
52400 14.8156
52500 14.7739
52600 15.2699
52700 15.6632
52800 14.8348
52900 14.6531
53000 14.861
53100 15.5056
53200 15.134
53300 14.8213
53400 15.1625
53500 15.365
53600 15.4563
53700 14.8822
53800 14.4619
53900 14.909
54000 14.8905
54100 14.9201
54200 15.2357
54300 14.8047
54400 15.8097
54500 15.6234
54600 15.9098
54700 16.3115
54800 16.0059
54900 15.7889
55000 15.8055
55100 15.6963
55200 15.9951
55300 16.6106
55400 16.6883
55500 16.7619
55600 16.7989
55700 16.7322
55800 16.3023
55900 16.8916
56000 16.423
56100 15.908
56200 16.4363
56300 17.25
56400 16.5764
56500 16.1029
56600 17.0664
56700 16.7971
56800 16.453
56900 17.4435
57000 17.5221
57100 17.0377
57200 17.3974
57300 17.8392
57400 18.1888
57500 18.246
57600 18.5375
57700 18.3988
57800 18.0105
57900 18.4255
58000 18.8899
58100 19.0368
58200 18.23
58300 18.1526
58400 18.9152
58500 19.2717
58600 19.6195
58700 19.5529
58800 18.6745
58900 18.8725
59000 18.5513
59100 18.2934
59200 19.1596
59300 19.0981
59400 19.577
59500 19.7257
59600 20.0075
59700 19.1807
59800 19.4922
59900 19.5683
60000 19.9889
60100 19.9402
60200 20.0809
